size,merge,heap,quick,hybrid,intro
2,461,210,190,230,270
4,411,210,200,291,280
8,581,230,261,330,280
16,722,260,361,410,301
32,861,331,521,601,431
64,1172,460,772,782,621
128,3567,731,1373,1292,761
256,2845,1243,2685,2274,1303
512,5140,2295,5320,4368,2234
1024,11932,4398,10780,8697,4458
2048,23044,8586,21682,17854,9388
4096,53942,16962,45636,36720,19928
8192,95010,33714,93638,75834,42852
16384,203867,67227,193287,158551,91925
32768,423564,134235,408004,334094,196723
65536,882444,268259,846466,698926,419606
131072,1776220,536338,1745421,1469247,898625
262144,3674280,1077243,3648391,3019137,1906948
524288,7783585,2155048,7570320,6296194,4026188
1048576,16698235,4320285,15853443,13339153,8569296
