size,left,middle,right,median,random,intro
2,351,180,181,200,932,301
4,431,361,310,250,1012,361
8,460,411,290,370,1252,351
16,651,441,401,451,1393,370
32,882,501,571,642,1493,451
64,1222,772,912,982,2274,632
128,1874,1413,1442,1794,3377,791
256,3085,2425,2726,3307,6051,1303
512,5320,4929,5580,6583,11582,2254
1024,10059,10069,11392,12934,22273,4469
2048,19697,20829,23795,26631,44164,9448
4096,39675,43472,49363,55004,90211,20118
8192,81915,90361,103336,111562,182876,43001
16384,170814,187996,213485,231038,372656,92155
32768,360464,387785,448621,471624,754320,197675
65536,758629,818852,936886,974517,1526313,421469
131072,1585466,1690265,1953885,2035509,3174328,900988
262144,3338028,3576300,4083742,4187990,6417346,1905622
524288,6948222,7360334,8504954,8736643,13187531,4033136
1048576,14457018,15369017,17596360,17915193,26734684,8649558
