size,merge,heap,quick,hybrid,intro
2,351,170,351,221,301
4,411,200,420,201,291
8,451,251,410,260,290
16,681,270,551,401,310
32,1273,681,851,781,741
64,2024,1613,1382,1483,1222
128,5931,4289,3206,2675,2164
256,8115,10049,6382,5631,4799
512,17814,23294,13957,13024,9929
1024,41138,51969,30408,27503,22954
2048,91113,116971,68430,62709,51177
4096,206091,259342,153180,140106,115860
8192,435836,566324,345225,322021,270954
16384,950583,1243638,752217,700949,603505
32768,2082509,2669753,1618229,1527808,1324101
65536,4457593,5740697,3447849,3283628,2912864
131072,9405487,12355331,7431934,7091769,6218853
262144,19969120,26706517,15931853,14967795,13331161
524288,42113365,57481980,32968251,31539682,27855897
1048576,88748064,132719683,68258006,65304304,58443143
