size,merge,heap,quick,hybrid,intro
2,461,160,190,161,260
4,461,221,401,290,291
8,521,481,310,281,341
16,791,711,631,551,471
32,1202,1102,1022,882,871
64,2154,1924,1603,1493,1103
128,5991,4398,3216,2896,2264
256,8466,9658,6412,5560,4499
512,17292,21731,12784,11492,8446
1024,36690,46979,25238,22353,17583
2048,76706,100200,50525,45436,35267
4096,167889,213224,103506,93828,72057
8192,331669,452808,209528,188728,153842
16384,694467,931386,436819,398335,321900
32768,1459739,1981347,907922,847087,701090
65536,2963921,4084336,1834059,1682722,1429181
131072,6053130,8406672,3758678,3466644,2989169
262144,12399905,17231438,7890323,7336403,6001451
524288,25298346,35755017,16361979,15159188,12139963
1048576,51829110,74428858,32396618,29734018,25609627
