size,merge,heap,quick,hybrid,intro
2,281,230,310,220,321
4,421,291,421,270,391
8,511,420,561,321,441
16,711,641,742,541,501
32,1162,1082,1162,892,932
64,1983,2174,2004,1713,1553
128,4188,4608,4368,3676,2906
256,8676,10520,9128,7805,6132
512,21411,22993,19277,16672,13335
1024,42852,52550,40216,35998,29276
2048,94960,118675,81535,75233,63811
4096,199949,258860,160274,151818,130908
8192,419345,562146,319847,307343,267257
16384,884117,1188444,628052,608294,541397
32768,1806717,2473140,1266191,1229352,1099946
65536,3664559,5129117,2583240,2496996,2260067
131072,7503560,10609511,5291387,5143987,4467886
262144,15559928,21747372,10347618,10100810,8892317
524288,31035707,44506568,20343339,19925056,18502347
1048576,63045541,90610460,41848703,41018348,35790221
