size,merge,heap,quick,hybrid,intro
2,280,160,321,180,351
4,571,240,411,220,351
8,601,350,581,351,451
16,932,561,661,682,651
32,1412,1102,1333,1152,972
64,4569,2435,2425,2284,1512
128,4899,5070,5090,4649,3467
256,10720,12283,11843,10040,7024
512,23905,27543,26100,21611,15720
1024,53672,61527,55775,48542,36539
2048,129255,137541,122462,106101,82997
4096,267687,307794,266396,235958,194169
8192,589899,678326,590831,522330,431088
16384,1313060,1481320,1256523,1124763,945634
32768,2792257,3201843,2702266,2419589,2069275
65536,5919889,6907803,5705092,5154608,4373957
131072,12561859,14918289,11775947,10588896,9116182
262144,26497423,32313064,24711435,22396003,19702364
524288,55832659,74614105,52203816,47626373,40619180
1048576,116643983,192567962,107675800,98421326,85801920
