size,ratio-quick-middle,ratio-hybrid-selection-8,ratio-intro
2,0.9194444444444444,0.9194444444444444,1.0
4,1.3021148036253776,1.1208459214501512,1.0
8,0.9667673716012085,1.3625377643504533,1.0
16,1.4878048780487805,1.6430155210643016,1.0
32,1.2620967741935485,1.1310483870967742,1.0
64,1.3792154163799037,1.4067446662078458,1.0
128,1.5264248704663212,1.398272884283247,1.0
256,1.4336105976586568,1.355052372150339,1.0
512,1.5513758009800227,1.376856388993592,1.0
1024,1.5203003989673785,1.3778791028262982,1.0
2048,1.4875570455921665,1.3327770311184628,1.0
4096,1.4155606052781078,1.281864896968445,1.0
8192,1.3753855041927563,1.2293172929605305,1.0
16384,1.3236818004074997,1.2009675543847373,1.0
32768,1.3130782482297139,1.1974855879880109,1.0
65536,1.2996892142519463,1.1884514142010345,1.0
131072,1.2801097169654596,1.1967027974939326,1.0
262144,1.301993073361238,1.1961743866972918,1.0
524288,1.272614662055379,1.179796682860715,1.0
1048576,1.2517477308907405,1.1612969988163044,1.0
