size,hybrid-insertion-4,hybrid-insertion-8,hybrid-insertion-12,hybrid-insertion-16,hybrid-insertion-20,hybrid-selection-4,hybrid-selection-8,hybrid-selection-12,hybrid-selection-16,hybrid-selection-20,intro
2,160,130,260,310,311,160,150,250,341,340,271
4,170,170,260,351,350,300,200,310,281,311,361
8,551,301,460,471,441,581,340,311,460,461,351
16,742,661,772,1092,1022,851,621,701,671,741,461
32,1042,1192,1323,1573,1623,1152,1152,982,1112,1292,871
64,1653,2054,2475,3176,2975,1923,1984,2124,2034,2315,1443
128,3898,4509,4980,5381,6222,3887,3907,3968,4278,4379,2825
256,8707,9378,10480,11542,12504,8726,8556,8556,8796,8897,6362
512,18605,20068,23134,25839,26931,19276,18435,18205,19166,19577,13305
1024,42611,45436,51157,54603,58231,41269,40877,40276,42391,42040,29897
2048,96042,99459,107434,117142,124716,91905,90130,89811,91644,93106,68119
4096,212433,216972,231940,253832,269501,203436,198075,197935,201973,203175,155094
8192,465723,475281,503905,540054,566294,447929,434253,431458,441598,441207,350415
16384,1001679,1020265,1080599,1146734,1206788,963417,937909,935133,945012,950783,779298
32768,2136602,2166519,2282299,2419449,2548794,2064915,2006505,1994102,2027855,2018078,1675487
65536,4511696,4566049,4783321,5074684,5317293,4369716,4229230,4227216,4280297,4266020,3569920
131072,9281221,9403242,9856462,10671297,10919768,9013002,8747608,8711681,8839543,8831929,7510823
262144,19654593,19887354,20806156,21908898,22931607,19123345,18609350,18505043,18687008,18763603,15532776
524288,41143924,41656106,43374524,45676710,47673878,40091799,39164611,38877857,39255283,39255444,33151167
1048576,84933877,86004227,89651774,94026661,97998602,82701664,80764089,80331529,81131216,81112620,69519305
