size,merge,heap,quick,intro
2,531,160,341,270
4,511,210,410,301
8,652,381,541,361
16,761,611,711,411
32,1092,1113,1152,891
64,2134,2194,2024,1363
128,6483,4899,4548,2765
256,9207,11011,9588,6592
512,19747,23354,20499,13265
1024,45256,55245,45165,30188
2048,101021,124076,101502,67959
4096,229906,270924,220929,154383
8192,488216,586342,487975,353481
16384,1061734,1271000,1041976,774469
32768,2307886,2728685,2213308,1665860
65536,4884524,5857369,4679023,3551996
131072,10329500,12567835,9716096,7451532
262144,21804502,26823901,20310138,15520123
524288,45742470,57967665,42483049,33049658
1048576,95945630,133120612,87623627,69419033
