size,left,middle,right,median,random,intro
2,280,220,340,331,1102,260
4,371,411,400,470,1102,260
8,651,531,531,561,1282,380
16,931,821,822,842,1834,501
32,1303,1192,1362,1302,2395,931
64,2274,1923,2364,2504,3907,1392
128,4418,4428,4659,4629,7133,2986
256,9729,9168,10359,9869,13876,6432
512,20279,20469,21361,21250,29336,13105
1024,43282,45106,47631,48542,62308,30457
2048,98707,100871,103416,102514,128353,67919
4096,219166,220588,224606,226850,273278,153951
8192,490460,486603,498385,498365,587223,353971
16384,1054038,1045963,1047135,1055371,1235913,776332
32768,2203307,2222985,2201795,2221993,2620258,1663454
65536,4650458,4662320,4756609,4749936,5478358,3553809
131072,9718908,9743916,9785284,9882708,11331615,7458912
262144,20089552,20349314,20355195,20656707,23463529,16648968
524288,42456291,42528879,42473403,42774945,48982705,33059815
1048576,88832905,87596350,89238754,89313626,101424389,69387335
