size,merge,heap,quick,hybrid,intro
2,391,160,251,211,220
4,431,191,310,200,220
8,391,240,321,261,151
16,651,270,381,411,260
32,992,641,671,672,380
64,1493,1573,1423,1253,561
128,4419,3597,2715,2305,1283
256,4389,8616,5099,4379,2114
512,7825,19037,10389,8566,4018
1024,16702,41469,20369,17163,7955
2048,32121,90132,41228,34134,16381
4096,70744,189229,83088,69822,32842
8192,124506,411892,165164,139064,68500
16384,254343,877908,333473,282246,138263
32768,544925,1796764,678247,575282,283979
65536,1084821,3713687,1362577,1160162,583788
131072,2250877,7623966,2764367,2361132,1199416
262144,4557280,16038004,5666696,4799881,2452785
524288,9437582,34096325,11395541,9796445,5071687
1048576,19849225,69280774,23201419,20006605,10520540
