size,merge,heap,quick,hybrid,intro
2,461,170,180,160,260
4,421,220,340,220,371
8,611,341,411,310,391
16,772,511,501,451,421
32,1182,861,832,761,471
64,1804,1954,1543,1312,711
128,4669,3827,2795,2384,1462
256,4389,8216,5200,4288,2134
512,6943,18586,9437,8025,3707
1024,14628,39144,16521,14137,6632
2048,27082,81365,30037,25268,12764
4096,58842,173640,56497,47400,24838
8192,101663,375292,104649,87516,51097
16384,214757,795699,207213,175193,103156
32768,483978,1636634,424695,368870,200701
65536,954531,3298236,887894,753629,422100
131072,1925523,6862817,1820873,1523871,903052
262144,3971373,14404191,3795639,3157399,1947013
524288,8092930,30223266,7708562,6259683,4182954
1048576,17248537,61827191,16642517,13330044,8865856
