size,merge,heap,quick,hybrid,intro
2,441,170,170,150,240
4,511,220,231,200,271
8,651,361,421,380,191
16,702,581,642,551,451
32,1152,932,992,752,390
64,1593,1924,1663,1252,681
128,4499,4178,3086,2285,1292
256,4598,9277,6332,4097,2315
512,7875,19887,11642,7144,3847
1024,16441,42691,22372,13766,7715
2048,32271,93387,44384,27492,15609
4096,71666,192595,88108,55826,32271
8192,128153,401652,174621,112484,65143
16384,261937,882343,349955,228253,136359
32768,558890,1811426,707684,464542,278679
65536,1137077,3731387,1413574,946508,567167
131072,2314490,7697190,2844142,1929605,1172978
262144,4709053,15981394,5759968,3956454,2452147
524288,9728212,34141331,11732181,8016034,4973856
1048576,20380649,69256586,23888898,16654569,10470184
