size,left,middle,right,median,random,intro
2,371,421,190,250,972,220
4,430,361,251,311,1052,200
8,521,440,430,381,1212,221
16,942,782,701,711,1563,341
32,1513,1052,1252,1142,2275,371
64,3496,1823,2335,2004,3697,581
128,6693,3166,5841,3878,6602,1253
256,17032,6252,16461,7514,12053,2265
512,50706,11482,55536,14768,23795,3867
1024,184299,22262,212082,29376,45817,7605
2048,702743,43843,792463,57559,90552,15600
4096,2703436,87456,3031308,114627,183137,31950
8192,10729415,173299,11950570,227210,372136,65124
16384,42351266,348761,47102124,460112,745814,136228
