size,merge,heap,quick,hybrid,intro
2,440,171,170,170,200
4,300,200,211,200,261
8,471,240,260,310,240
16,711,270,320,390,261
32,781,711,762,822,511
64,1152,1763,1423,1313,811
128,3697,3977,2614,2475,1443
256,2816,9278,5270,4498,2074
512,5220,19878,10410,8696,4067
1024,11632,42821,20669,17444,7905
2048,24126,91653,40437,33733,16151
4096,53381,193316,82146,68890,31811
8192,94789,401822,165204,139294,67457
16384,197484,838900,333903,281964,136429
32768,418232,1735831,673577,573787,277657
65536,855912,3581429,1360439,1162954,565041
131072,1802867,7417672,2729505,2355826,1161362
262144,3815933,15283101,5650371,4793948,2406702
524288,7880118,31524529,11343472,9764470,4953109
1048576,16782343,65076390,23211631,20000774,10383556
