size,merge,heap,quick,hybrid,intro
2,431,170,161,171,200
4,471,220,360,291,341
8,531,340,360,340,191
16,631,621,561,631,250
32,791,982,901,982,621
64,1092,1903,1523,1433,852
128,3677,4318,3036,2605,1363
256,2835,8957,5140,4558,1994
512,5000,18645,9157,8055,3587
1024,11592,40106,16371,14227,6582
2048,22633,84080,30278,25538,12554
4096,54033,178147,55355,46328,24236
8192,93577,371644,104118,87667,49794
16384,192094,765952,205640,174651,101342
32768,420828,1593421,421710,369971,195782
65536,857116,3307052,874408,752046,413014
131072,1803340,6861833,1820432,1522027,883826
262144,3751795,14221349,3734171,3109276,1882480
524288,7707406,29553674,7653133,6332950,4142275
1048576,16605179,62765346,16666065,13357320,8711550
