size,merge,heap,quick,hybrid,intro
2,441,160,251,260,190
4,500,220,461,300,260
8,571,351,581,311,260
16,671,582,721,461,221
32,801,1102,1062,701,460
64,1132,2063,1693,1212,742
128,3687,4528,3296,2114,1313
256,2795,9939,6182,3807,2305
512,5260,21060,11822,7274,3938
1024,12063,44013,21941,13395,7644
2048,24136,94058,44715,27823,15680
4096,56518,197945,88307,56106,32572
8192,94790,407283,173929,111922,66075
16384,196142,844642,351377,225768,137461
32768,425758,1740902,701762,464852,285602
65536,888835,3586452,1417539,944561,591632
131072,1810875,7429672,2840107,1929921,1231355
262144,3711230,15385462,5735399,3935354,2520672
524288,7717037,31583746,11702627,8096076,5329919
1048576,16592662,65456363,23843084,16631335,11179244
