size,left,middle,right,median,random,intro
2,331,351,250,341,982,130
4,371,381,401,471,1212,160
8,420,591,541,591,1312,240
16,501,671,681,691,1583,161
32,892,1082,1102,1082,2434,371
64,1813,1794,2384,1843,3627,671
128,4488,3246,6462,3276,6663,1172
256,12764,6201,24587,6122,11923,2174
512,40386,11662,84089,11061,23494,3958
1024,144634,22142,304437,21501,44684,7504
2048,550213,44214,1140272,41479,91894,15600
4096,2156359,88358,4410211,84811,180733,32451
8192,8547296,173419,17397936,163410,366636,65474
16384,34052322,348580,68363594,337369,733480,136098
32768,135610201,699977,271141442,672776,1486308,283999
65536,542484927,1392681,1082190594,1377772,2999787,590089
